epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,195.448,1.30169,0.65026,0.99589,0.71114,0.69928,0.67989,0.39121,1.58673,0.82105,1.09949,0.000341077,0.000341077,0.000341077
72,197.664,1.34776,0.64927,0.98106,0.66964,0.70279,0.65536,0.37835,1.56585,0.82309,1.09038,0.000330078,0.000330078,0.000330078
73,200.769,1.38423,0.72985,1.00432,0.66964,0.70279,0.65536,0.37835,1.56585,0.82309,1.09038,0.000319079,0.000319079,0.000319079
74,202.888,1.59967,0.7393,0.98042,0.67636,0.70636,0.64729,0.36962,1.57411,0.82744,1.09546,0.00030808,0.00030808,0.00030808
75,205.023,1.23991,0.63409,1.00065,0.67636,0.70636,0.64729,0.36962,1.57411,0.82744,1.09546,0.000297081,0.000297081,0.000297081
76,207.234,1.19908,0.64126,1.00483,0.66195,0.68001,0.63679,0.36592,1.59516,0.84081,1.10743,0.000286083,0.000286083,0.000286083
77,209.788,1.31297,0.63495,0.96801,0.66195,0.68001,0.63679,0.36592,1.59516,0.84081,1.10743,0.000275084,0.000275084,0.000275084
78,212.005,1.28265,0.64235,0.98083,0.66711,0.68068,0.63804,0.36681,1.59932,0.84371,1.1133,0.000264085,0.000264085,0.000264085
79,214.06,1.22339,0.62981,0.98319,0.66711,0.68068,0.63804,0.36681,1.59932,0.84371,1.1133,0.000253086,0.000253086,0.000253086
80,216.437,1.31878,0.6736,1.00358,0.67962,0.66814,0.63347,0.3633,1.60102,0.84326,1.11682,0.000242087,0.000242087,0.000242087
81,218.496,1.19713,0.60703,0.97333,0.67962,0.66814,0.63347,0.3633,1.60102,0.84326,1.11682,0.000231088,0.000231088,0.000231088
82,221.261,1.34152,0.66978,0.97241,0.6734,0.68352,0.63665,0.36918,1.59997,0.83377,1.1161,0.000220089,0.000220089,0.000220089
83,223.536,1.3364,0.66254,0.96873,0.6734,0.68352,0.63665,0.36918,1.59997,0.83377,1.1161,0.00020909,0.00020909,0.00020909
84,226.224,1.29788,0.61422,0.99446,0.70874,0.66838,0.63858,0.37688,1.58822,0.8254,1.10865,0.000198091,0.000198091,0.000198091
85,228.348,1.19784,0.6073,0.97709,0.70874,0.66838,0.63858,0.37688,1.58822,0.8254,1.10865,0.000187092,0.000187092,0.000187092
86,230.565,1.31028,0.61427,0.97773,0.68882,0.63525,0.63946,0.38313,1.57501,0.82778,1.10008,0.000176094,0.000176094,0.000176094
87,232.795,1.18592,0.59382,0.96077,0.68882,0.63525,0.63946,0.38313,1.57501,0.82778,1.10008,0.000165095,0.000165095,0.000165095
88,235.11,1.23754,0.62079,0.96942,0.65451,0.6913,0.64157,0.37671,1.57088,0.8271,1.09775,0.000154096,0.000154096,0.000154096
89,237.774,1.25237,0.61833,0.9682,0.65451,0.6913,0.64157,0.37671,1.57088,0.8271,1.09775,0.000143097,0.000143097,0.000143097
90,240.364,1.26846,0.61429,0.98834,0.64452,0.70668,0.64536,0.38063,1.56947,0.82011,1.09828,0.000132098,0.000132098,0.000132098
91,247.098,1.24388,0.72811,0.98532,0.64452,0.70668,0.64536,0.38063,1.56947,0.82011,1.09828,0.000121099,0.000121099,0.000121099
92,250.925,1.28261,0.80377,0.99308,0.6535,0.6936,0.64747,0.38235,1.56972,0.81611,1.09961,0.0001101,0.0001101,0.0001101
93,253.527,1.3004,0.77706,1.01899,0.6535,0.6936,0.64747,0.38235,1.56972,0.81611,1.09961,9.91012e-05,9.91012e-05,9.91012e-05
94,256.247,1.30654,0.72902,1.0103,0.64284,0.69695,0.64886,0.37749,1.57383,0.81422,1.10192,8.81023e-05,8.81023e-05,8.81023e-05
95,258.812,1.26112,0.65602,0.95925,0.64284,0.69695,0.64886,0.37749,1.57383,0.81422,1.10192,7.71034e-05,7.71034e-05,7.71034e-05
96,261.318,1.23634,0.67597,0.96978,0.62186,0.69742,0.65372,0.37842,1.58105,0.81405,1.10466,6.61045e-05,6.61045e-05,6.61045e-05
97,263.85,1.24305,0.68075,0.98722,0.62186,0.69742,0.65372,0.37842,1.58105,0.81405,1.10466,5.51056e-05,5.51056e-05,5.51056e-05
98,266.377,1.26136,0.63113,0.98807,0.64048,0.68427,0.65852,0.38,1.58623,0.81419,1.10618,4.41067e-05,4.41067e-05,4.41067e-05
99,268.975,1.25245,0.66175,0.95603,0.64048,0.68427,0.65852,0.38,1.58623,0.81419,1.10618,3.31078e-05,3.31078e-05,3.31078e-05
100,271.689,1.16706,0.65938,0.9816,0.64652,0.70071,0.65762,0.37681,1.58873,0.81628,1.10674,2.21089e-05,2.21089e-05,2.21089e-05
