epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,162.344,1.61512,1.25011,1.0314,0.69029,0.32753,0.2664,0.13606,1.61479,1.38914,1.07171,0.000462065,0.000462065,0.000462065
61,164.63,1.67698,1.25621,1.07047,0.69029,0.32753,0.2664,0.13606,1.61479,1.38914,1.07171,0.000451066,0.000451066,0.000451066
62,166.733,1.62573,1.27773,1.03652,0.6887,0.32802,0.26885,0.13841,1.61211,1.36685,1.07085,0.000440067,0.000440067,0.000440067
63,169.455,1.63887,1.20734,1.03473,0.6887,0.32802,0.26885,0.13841,1.61211,1.36685,1.07085,0.000429068,0.000429068,0.000429068
64,172.227,1.66777,1.2183,1.04362,0.70477,0.32952,0.27916,0.14402,1.61147,1.34802,1.06957,0.000418069,0.000418069,0.000418069
65,174.918,1.64582,1.20528,1.05178,0.70477,0.32952,0.27916,0.14402,1.61147,1.34802,1.06957,0.00040707,0.00040707,0.00040707
66,177.699,1.60886,1.25004,1.04745,0.68409,0.30734,0.29033,0.15413,1.63622,1.35916,1.07571,0.000396071,0.000396071,0.000396071
67,180.554,1.68171,1.33868,1.05441,0.68409,0.30734,0.29033,0.15413,1.63622,1.35916,1.07571,0.000385073,0.000385073,0.000385073
68,183.584,1.7907,1.27525,1.02986,0.67871,0.29445,0.29545,0.15936,1.64267,1.37881,1.07315,0.000374074,0.000374074,0.000374074
69,186.582,1.6485,1.22031,1.03501,0.67871,0.29445,0.29545,0.15936,1.64267,1.37881,1.07315,0.000363075,0.000363075,0.000363075
70,189.282,1.57781,1.18631,1.04611,0.6597,0.32745,0.29671,0.15686,1.61879,1.38279,1.0651,0.000352076,0.000352076,0.000352076
71,191.884,1.68177,1.28131,1.00848,0.6597,0.32745,0.29671,0.15686,1.61879,1.38279,1.0651,0.000341077,0.000341077,0.000341077
72,194.656,1.63136,1.30366,1.04009,0.66379,0.32227,0.30517,0.15905,1.61656,1.38144,1.06245,0.000330078,0.000330078,0.000330078
73,197.564,1.61774,1.19824,1.03675,0.66379,0.32227,0.30517,0.15905,1.61656,1.38144,1.06245,0.000319079,0.000319079,0.000319079
74,200.159,1.57333,1.26064,1.02421,0.61018,0.30844,0.32087,0.16419,1.62276,1.35314,1.05986,0.00030808,0.00030808,0.00030808
75,202.785,1.63151,1.18794,1.03645,0.61018,0.30844,0.32087,0.16419,1.62276,1.35314,1.05986,0.000297081,0.000297081,0.000297081
76,205.834,1.5002,1.13261,1.0095,0.51883,0.32681,0.33288,0.17076,1.61249,1.29667,1.05212,0.000286083,0.000286083,0.000286083
77,208.493,1.6344,1.19675,1.04367,0.51883,0.32681,0.33288,0.17076,1.61249,1.29667,1.05212,0.000275084,0.000275084,0.000275084
78,211.092,1.6263,1.29482,1.01245,0.50844,0.34114,0.34456,0.18377,1.61195,1.25059,1.05038,0.000264085,0.000264085,0.000264085
79,213.901,1.61187,1.08981,1.01545,0.50844,0.34114,0.34456,0.18377,1.61195,1.25059,1.05038,0.000253086,0.000253086,0.000253086
80,216.554,1.64758,1.2023,1.01927,0.51742,0.35576,0.34859,0.18497,1.61232,1.2269,1.04942,0.000242087,0.000242087,0.000242087
81,219.24,1.61164,1.1248,1.01341,0.51742,0.35576,0.34859,0.18497,1.61232,1.2269,1.04942,0.000231088,0.000231088,0.000231088
