epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,164.031,1.7354,1.54626,1.11114,0.11442,0.45606,0.24287,0.12583,1.69992,2.09375,1.05881,0.000528058,0.000528058,0.000528058
55,167.123,1.69315,1.46485,1.04957,0.11442,0.45606,0.24287,0.12583,1.69992,2.09375,1.05881,0.000517059,0.000517059,0.000517059
56,169.928,2.08368,1.62588,1.05609,0.11883,0.47427,0.26182,0.13908,1.69391,2.00654,1.06327,0.00050606,0.00050606,0.00050606
57,172.827,1.73911,1.46214,1.07195,0.11883,0.47427,0.26182,0.13908,1.69391,2.00654,1.06327,0.000495062,0.000495062,0.000495062
58,175.512,1.72566,1.49305,1.05263,0.12635,0.52531,0.27755,0.15361,1.63736,1.94763,1.0579,0.000484063,0.000484063,0.000484063
59,177.926,1.64494,1.42678,1.05788,0.12635,0.52531,0.27755,0.15361,1.63736,1.94763,1.0579,0.000473064,0.000473064,0.000473064
60,180.343,1.71074,1.4909,1.02957,0.67885,0.2407,0.30496,0.17055,1.63561,1.90197,1.06532,0.000462065,0.000462065,0.000462065
61,182.317,1.78035,1.43852,1.09816,0.67885,0.2407,0.30496,0.17055,1.63561,1.90197,1.06532,0.000451066,0.000451066,0.000451066
62,183.932,1.85265,1.45853,1.02596,0.71793,0.21312,0.32141,0.18321,1.63905,1.8499,1.06891,0.000440067,0.000440067,0.000440067
63,185.568,1.64999,1.42697,1.05298,0.71793,0.21312,0.32141,0.18321,1.63905,1.8499,1.06891,0.000429068,0.000429068,0.000429068
64,187.679,1.61184,1.32637,1.0531,0.68183,0.2548,0.34647,0.19568,1.67307,1.74498,1.07646,0.000418069,0.000418069,0.000418069
65,190.246,1.62144,1.35902,1.04286,0.68183,0.2548,0.34647,0.19568,1.67307,1.74498,1.07646,0.00040707,0.00040707,0.00040707
66,193.363,1.65442,1.32865,1.05356,0.5948,0.30966,0.36129,0.2034,1.70395,1.60747,1.08388,0.000396071,0.000396071,0.000396071
67,195.699,1.53522,1.36352,1.04456,0.5948,0.30966,0.36129,0.2034,1.70395,1.60747,1.08388,0.000385073,0.000385073,0.000385073
68,198.884,1.75452,1.40003,1.05475,0.55079,0.36921,0.38124,0.21497,1.67336,1.47805,1.07459,0.000374074,0.000374074,0.000374074
69,202.975,1.72446,1.37079,1.0357,0.55079,0.36921,0.38124,0.21497,1.67336,1.47805,1.07459,0.000363075,0.000363075,0.000363075
70,205.644,1.67031,1.35675,1.0428,0.55799,0.41688,0.38987,0.21957,1.63496,1.39662,1.06436,0.000352076,0.000352076,0.000352076
71,208.069,1.63267,1.23767,1.05436,0.55799,0.41688,0.38987,0.21957,1.63496,1.39662,1.06436,0.000341077,0.000341077,0.000341077
72,210.589,1.64876,1.32653,1.03029,0.56921,0.44787,0.39761,0.22188,1.61961,1.33733,1.05914,0.000330078,0.000330078,0.000330078
73,213.246,1.73516,1.34366,1.05859,0.56921,0.44787,0.39761,0.22188,1.61961,1.33733,1.05914,0.000319079,0.000319079,0.000319079
74,215.989,1.90824,1.546,1.01644,0.55831,0.46187,0.3982,0.22667,1.61015,1.29376,1.05285,0.00030808,0.00030808,0.00030808
75,218.973,1.64228,1.23448,1.07172,0.55831,0.46187,0.3982,0.22667,1.61015,1.29376,1.05285,0.000297081,0.000297081,0.000297081
76,221.646,1.62409,1.2367,1.07274,0.54601,0.48107,0.40535,0.22856,1.61726,1.2638,1.05367,0.000286083,0.000286083,0.000286083
77,224.27,1.68231,1.2454,1.01365,0.54601,0.48107,0.40535,0.22856,1.61726,1.2638,1.05367,0.000275084,0.000275084,0.000275084
78,226.91,1.68633,1.28631,1.02587,0.53867,0.46171,0.40423,0.22402,1.6157,1.26394,1.05424,0.000264085,0.000264085,0.000264085
79,229.337,1.57537,1.31422,1.02737,0.53867,0.46171,0.40423,0.22402,1.6157,1.26394,1.05424,0.000253086,0.000253086,0.000253086
80,231.796,1.6996,1.32874,1.05554,0.55144,0.46868,0.39961,0.22477,1.61653,1.25524,1.05716,0.000242087,0.000242087,0.000242087
81,234.209,1.58735,1.23223,1.02392,0.55144,0.46868,0.39961,0.22477,1.61653,1.25524,1.05716,0.000231088,0.000231088,0.000231088
82,235.957,1.75069,1.33457,1.00908,0.58699,0.51543,0.41001,0.22809,1.6138,1.24016,1.05849,0.000220089,0.000220089,0.000220089
83,238.145,1.70941,1.34398,1.02271,0.58699,0.51543,0.41001,0.22809,1.6138,1.24016,1.05849,0.00020909,0.00020909,0.00020909
84,240.038,1.68975,1.22096,1.04051,0.57424,0.50708,0.4157,0.23269,1.61013,1.23516,1.0624,0.000198091,0.000198091,0.000198091
85,242.062,1.57858,1.27764,1.0419,0.57424,0.50708,0.4157,0.23269,1.61013,1.23516,1.0624,0.000187092,0.000187092,0.000187092
86,245.08,1.66986,1.22964,1.02155,0.56538,0.52095,0.41506,0.23236,1.61178,1.23017,1.06534,0.000176094,0.000176094,0.000176094
87,247.099,1.57243,1.20286,1.02709,0.56538,0.52095,0.41506,0.23236,1.61178,1.23017,1.06534,0.000165095,0.000165095,0.000165095
88,249.405,1.64213,1.22232,1.03637,0.54328,0.52269,0.4023,0.22159,1.60959,1.22083,1.06437,0.000154096,0.000154096,0.000154096
89,251.975,1.66898,1.20474,1.02804,0.54328,0.52269,0.4023,0.22159,1.60959,1.22083,1.06437,0.000143097,0.000143097,0.000143097
90,254.189,1.62006,1.24838,1.0411,0.52989,0.52745,0.39575,0.21836,1.60753,1.22595,1.06425,0.000132098,0.000132098,0.000132098
91,257.913,1.59604,1.23392,1.05462,0.52989,0.52745,0.39575,0.21836,1.60753,1.22595,1.06425,0.000121099,0.000121099,0.000121099
92,260.235,1.69695,1.18011,1.07485,0.51432,0.53027,0.3871,0.21147,1.61664,1.22517,1.06694,0.0001101,0.0001101,0.0001101
93,262.33,1.6522,1.18186,1.0713,0.51432,0.53027,0.3871,0.21147,1.61664,1.22517,1.06694,9.91012e-05,9.91012e-05,9.91012e-05
94,264.677,1.65246,1.19245,1.08006,0.52031,0.56421,0.39372,0.20968,1.63507,1.22717,1.0717,8.81023e-05,8.81023e-05,8.81023e-05
95,266.759,1.61684,1.107,1.0242,0.52031,0.56421,0.39372,0.20968,1.63507,1.22717,1.0717,7.71034e-05,7.71034e-05,7.71034e-05
96,269.422,1.59706,1.12716,1.02711,0.51254,0.55577,0.38757,0.20469,1.65262,1.22598,1.07758,6.61045e-05,6.61045e-05,6.61045e-05
97,271.676,1.61034,1.16339,1.05793,0.51254,0.55577,0.38757,0.20469,1.65262,1.22598,1.07758,5.51056e-05,5.51056e-05,5.51056e-05
98,273.822,1.57917,1.08034,1.04141,0.51153,0.5526,0.38486,0.20228,1.65714,1.22184,1.07991,4.41067e-05,4.41067e-05,4.41067e-05
99,276.116,1.56845,1.1135,1.02043,0.51153,0.5526,0.38486,0.20228,1.65714,1.22184,1.07991,3.31078e-05,3.31078e-05,3.31078e-05
100,278.384,1.5411,1.19142,1.06056,0.5079,0.5517,0.38603,0.20306,1.65253,1.21376,1.07836,2.21089e-05,2.21089e-05,2.21089e-05
